         4076295 function calls (3999034 primitive calls) in 8.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      261    0.003    0.000    0.043    0.000 compute.py:121(_decorate_compute_function)
        1    0.000    0.000    0.043    0.043 ipapp.py:1(<module>)
        3    0.000    0.000    0.043    0.014 parallel.py:1(<module>)
      662    0.003    0.000    0.042    0.000 typing.py:483(Union)
   220690    0.042    0.000    0.042    0.000 {method 'startswith' of 'str' objects}
      366    0.002    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        3    0.000    0.000    0.042    0.014 rules.py:1(<module>)
     1202    0.001    0.000    0.042    0.000 textwrap.py:160(_split)
        1    0.000    0.000    0.041    0.041 _lda.py:1(<module>)
13515/346    0.018    0.000    0.041    0.000 copy.py:128(deepcopy)
        2    0.000    0.000    0.041    0.021 _bar.py:1(<module>)
      374    0.039    0.000    0.039    0.000 {built-in method nt.listdir}
        1    0.002    0.002    0.038    0.038 _colors.py:1(<module>)
       98    0.000    0.000    0.038    0.000 dataclasses.py:1156(dataclass)
        1    0.000    0.000    0.037    0.037 Delta_pb2.py:1(<module>)
     5537    0.017    0.000    0.037    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    14718    0.021    0.000    0.037    0.000 inspect.py:2637(__init__)
        2    0.000    0.000    0.037    0.018 indexing.py:1(<module>)
   147/43    0.001    0.000    0.037    0.001 basedatatypes.py:5245(_set_compound_prop)
        1    0.000    0.000    0.036    0.036 imports.py:1(<module>)
     1216    0.036    0.000    0.036    0.000 {method 'split' of 're.Pattern' objects}
       56    0.035    0.001    0.036    0.001 {built-in method io.open}
     2967    0.005    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.036    0.036 Element_pb2.py:1(<module>)
        6    0.000    0.000    0.035    0.006 basic.py:1(<module>)
        1    0.000    0.000    0.035    0.035 spinner.py:1(<module>)
       30    0.005    0.000    0.035    0.001 __init__.py:851(_rc_params_in_file)
        1    0.000    0.000    0.035    0.035 _legacy.py:1(<module>)
        9    0.000    0.000    0.035    0.004 managers.py:1782(_consolidate_inplace)
        1    0.000    0.000    0.035    0.035 managers.py:2259(_consolidate)
        1    0.000    0.000    0.035    0.035 iterative.py:1(<module>)
        3    0.019    0.006    0.034    0.011 managers.py:2276(_merge_blocks)
        1    0.000    0.000    0.034    0.034 _parallel_backends.py:1(<module>)
        2    0.000    0.000    0.034    0.017 magic.py:1(<module>)
        1    0.000    0.000    0.034    0.034 config_util.py:1(<module>)
        1    0.000    0.000    0.034    0.034 _olivetti_faces.py:1(<module>)
   148/42    0.001    0.000    0.034    0.001 basevalidators.py:2507(validate_coerce)
      370    0.002    0.000    0.033    0.000 dataclasses.py:412(_create_fn)
   298401    0.033    0.000    0.033    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.033    0.008 _data.py:1400(__init__)
        1    0.000    0.000    0.033    0.033 config_option.py:1(<module>)
        2    0.000    0.000    0.032    0.016 ansi.py:1(<module>)
       12    0.000    0.000    0.032    0.003 util.py:1(<module>)
 1094/437    0.004    0.000    0.032    0.000 copy.py:227(_deepcopy_dict)
     4291    0.031    0.000    0.032    0.000 {method 'sub' of 're.Pattern' objects}
       98    0.000    0.000    0.031    0.000 compute.py:114(_scrape_options_class_doc)
        4    0.000    0.000    0.031    0.008 datetimes.py:673(to_datetime)
      136    0.001    0.000    0.031    0.000 _docstring.py:66(__call__)
       52    0.001    0.000    0.031    0.001 _docscrape.py:371(_parse)
       98    0.000    0.000    0.031    0.000 docscrape.py:146(__init__)
      303    0.000    0.000    0.031    0.000 _colors.py:12(lch2rgb)
       11    0.000    0.000    0.031    0.003 exceptions.py:1(<module>)
  126/115    0.000    0.000    0.031    0.000 _docstring.py:107(__call__)
        1    0.000    0.000    0.031    0.031 _index_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.030    0.030 callconv.py:1(<module>)
        2    0.000    0.000    0.030    0.015 _unsupervised.py:1(<module>)
        1    0.000    0.000    0.030    0.030 classic.py:1(<module>)
     1603    0.029    0.000    0.029    0.000 {built-in method builtins.dir}
      127    0.015    0.000    0.029    0.000 enum.py:180(__new__)
        1    0.000    0.000    0.029    0.029 art3d.py:1(<module>)
     2967    0.012    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
        3    0.000    0.000    0.029    0.010 containers.py:1(<module>)
        5    0.000    0.000    0.029    0.006 _utils.py:1(<module>)
        1    0.000    0.000    0.028    0.028 _spherical_voronoi.py:1(<module>)
        1    0.000    0.000    0.028    0.028 rules.py:15(_init_casting_rules)
      394    0.004    0.000    0.028    0.000 _util.py:377(getfullargspec_no_self)
       46    0.000    0.000    0.028    0.001 castgraph.py:119(insert_rule)
        4    0.000    0.000    0.028    0.007 defaults.py:1(<module>)
        3    0.000    0.000    0.028    0.009 _template.py:262(__init__)
64735/64726    0.025    0.000    0.028    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.028    0.028 base_events.py:1(<module>)
       46    0.006    0.000    0.028    0.001 castgraph.py:92(propagate)
        2    0.000    0.000    0.028    0.014 datetimes.py:209(_maybe_cache)
        2    0.000    0.000    0.027    0.014 regression.py:1(<module>)
      249    0.011    0.000    0.027    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.026    0.026 oinspect.py:1(<module>)
      218    0.014    0.000    0.026    0.000 artist.py:1452(<listcomp>)
        1    0.000    0.000    0.026    0.026 descriptor_pool.py:1(<module>)
      303    0.000    0.000    0.025    0.000 _colorconv.py:283(lab2rgb)
     5404    0.010    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.025    0.025 defmatrix.py:1(<module>)
        1    0.000    0.000    0.025    0.025 env_util.py:1(<module>)
       13    0.000    0.000    0.025    0.002 common.py:1(<module>)
       11    0.000    0.000    0.024    0.002 _docstring.py:79(__missing__)
     3597    0.016    0.000    0.024    0.000 inspect.py:2920(__init__)
        1    0.000    0.000    0.024    0.024 cli_util.py:34(style_for_cli)
        2    0.000    0.000    0.024    0.012 core.py:206(read_style_directory)
      440    0.014    0.000    0.023    0.000 doccer.py:180(indentcount_lines)
        2    0.000    0.000    0.023    0.012 algorithms.py:1(<module>)
        1    0.000    0.000    0.023    0.023 _morestats.py:1(<module>)
        4    0.000    0.000    0.023    0.006 datetimes.py:314(_convert_listlike_datetimes)
        2    0.000    0.000    0.023    0.011 _linalg.py:1(<module>)
        1    0.001    0.001    0.023    0.023 managers.py:2190(_form_blocks)
        1    0.000    0.000    0.023    0.023 _distn_infrastructure.py:1(<module>)
        1    0.000    0.000    0.023    0.023 script_requests.py:1(<module>)
        1    0.000    0.000    0.023    0.023 python_message.py:1(<module>)
      486    0.019    0.000    0.023    0.000 {built-in method builtins.eval}
    10076    0.023    0.000    0.023    0.000 {method 'search' of 're.Pattern' objects}
    10383    0.018    0.000    0.023    0.000 ntpath.py:150(splitdrive)
        1    0.000    0.000    0.022    0.022 _geometric_slerp.py:1(<module>)
     3216    0.009    0.000    0.022    0.000 typing.py:146(_type_check)
        9    0.000    0.000    0.022    0.002 tokenize.py:297(detect_encoding)
       53    0.015    0.000    0.022    0.000 managers.py:2246(_stack_arrays)
       16    0.000    0.000    0.022    0.001 tokenize.py:321(read_or_stop)
       16    0.022    0.001    0.022    0.001 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.022    0.022 distance.py:1(<module>)
        2    0.000    0.000    0.022    0.011 arrow.py:246(dataframe)
       40    0.000    0.000    0.021    0.001 basedatatypes.py:5319(_set_array_prop)
      270    0.001    0.000    0.021    0.000 _decorators.py:363(decorator)
        3    0.000    0.000    0.021    0.007 _typing.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _hypotests.py:1(<module>)
        1    0.000    0.000    0.021    0.021 ir_utils.py:1(<module>)
        2    0.000    0.000    0.021    0.011 dataframe_util.py:370(convert_pandas_df_to_arrow_bytes)
        2    0.000    0.000    0.021    0.011 _templates.py:105(_validate)
     1929    0.021    0.000    0.021    0.000 {method 'findall' of 're.Pattern' objects}
        1    0.000    0.000    0.021    0.021 geo.py:1(<module>)
     1574    0.006    0.000    0.021    0.000 typing_extensions.py:2989(_collect_type_vars)
